system,mean_edge,stderr_edge,mean_ev,edge_stdev,trials,num_hands,num_decks
hi_lo,0.3458215639894521,0.04671679372791052,0.0056748,0.20892385293288748,20,500000,6
ko,0.3028319277676342,0.05439849840080341,0.005273,0.24327748059622006,20,500000,6
zen,0.43983536917130966,0.05279425871339032,0.0101116,0.23610310260970271,20,500000,6
